Iteration,Location,Date_Ref,Date_Target,MaskedP,Band,n1,n2,t1,f,minNx,w1,w2,MSLE,MSE,R2,UP,KP,Total_Time_Sec,Time_Sec,Time_Min,Time_Hours,Time_Days
2,france,20010126,20030217,27.26,4,14,200,0.01,1,4,0.5,0.5,0.012836286,2.11E+06,0.796154846,0,100,1776,36.1641969,29,0,0
3,france,20010126,20030217,27.26,4,14,200,0.01,1,4,0.5,0.5,0.012836861,2.11E+06,0.796151313,0,100,1790,50.22779,29,0,0
4,france,20010126,20030217,27.26,4,14,200,0.01,1,4,0.5,0.5,0.012837774,2.11E+06,0.796146922,0,100,1788,48.3895428,29,0,0
5,france,20010126,20030217,27.26,4,14,200,0.01,1,4,0.5,0.5,0.012837662,2.11E+06,0.79614655,0,100,1802,2.2508969,30,0,0
1,france,20010126,20030217,27.26,5,14,200,0.01,1,4,0.5,0.5,0.016545686,2.47E+06,0.692927749,0,100,998,37.5488729,16,0,0
2,france,20010126,20030217,27.26,5,14,200,0.01,1,4,0.5,0.5,0.01653368,2.47E+06,0.693158558,0,100,1007,47.0808098,16,0,0
3,france,20010126,20030217,27.26,5,14,200,0.01,1,4,0.5,0.5,0.016549414,2.47E+06,0.69289633,0,100,996,35.91959,16,0,0
4,france,20010126,20030217,27.26,5,14,200,0.01,1,4,0.5,0.5,0.01654154,2.47E+06,0.69300443,0,100,1000,40.0968624,16,0,0
5,france,20010126,20030217,27.26,5,14,200,0.01,1,4,0.5,0.5,0.016544321,2.47E+06,0.692985998,0,100,1004,44.4506744,16,0,0
1,france,20010126,20030217,27.26,6,14,200,0.01,1,4,0.5,0.5,0.011831259,1.36E+06,0.635818387,0,100,2377,36.7915025,39,0,0
2,france,20010126,20030217,27.26,6,14,200,0.01,1,4,0.5,0.5,0.011830295,1.36E+06,0.635832383,0,100,2353,12.5938989,39,0,0
3,france,20010126,20030217,27.26,6,14,200,0.01,1,4,0.5,0.5,0.011830013,1.36E+06,0.63583616,0,100,2375,35.2855536,39,0,0
4,france,20010126,20030217,27.26,6,14,200,0.01,1,4,0.5,0.5,0.011828866,1.36E+06,0.635859246,0,100,2377,36.9432927,39,0,0
