Iteration,Location,Date_Ref,Date_Target,MaskedP,Band,n1,n2,t1,f,minNx,w1,w2,MSLE,MSE,R2,UP,KP,Total_Time_Sec,Time_Sec,Time_Min,Time_Hours,Time_Days
4,france,20210328,20210223,26.63,2,14,200,0.01,1,4,0.5,0.5,0.01714948,12797.39642,0.734865318,0,100,153,33.4814842,2,0,0
5,france,20210328,20210223,26.63,2,14,200,0.01,1,4,0.5,0.5,0.01725578,12811.51441,0.734572824,0,100,148,28.4944878,2,0,0
1,france,20210328,20210223,26.63,3,14,200,0.01,1,4,0.5,0.5,0.065041471,20397.1219,0.771196845,0,100,137,16.7907234,2,0,0
2,france,20210328,20210223,26.63,3,14,200,0.01,1,4,0.5,0.5,0.073993543,20626.02767,0.768629112,0,100,137,17.4998956,2,0,0
3,france,20210328,20210223,26.63,3,14,200,0.01,1,4,0.5,0.5,0.066996059,20418.86851,0.770952904,0,100,137,16.7677588,2,0,0
4,france,20210328,20210223,26.63,3,14,200,0.01,1,4,0.5,0.5,0.06351448,20911.42684,0.765427668,0,100,138,17.8148122,2,0,0
5,france,20210328,20210223,26.63,3,14,200,0.01,1,4,0.5,0.5,0.068754317,20412.13442,0.771028443,0,100,136,16.288715,2,0,0
1,france,20210328,20210223,26.63,4,14,200,0.01,1,4,0.5,0.5,0.079916576,20494.29391,0.811289018,0,100,95,35.4127845,1,0,0
2,france,20210328,20210223,26.63,4,14,200,0.01,1,4,0.5,0.5,0.077913841,20321.02034,0.812884517,0,100,96,36.0031625,1,0,0
3,france,20210328,20210223,26.63,4,14,200,0.01,1,4,0.5,0.5,0.081269351,20466.32504,0.811546555,0,100,99,38.8271724,1,0,0
4,france,20210328,20210223,26.63,4,14,200,0.01,1,4,0.5,0.5,0.076200499,20239.08127,0.81363901,0,100,97,36.5088998,1,0,0
5,france,20210328,20210223,26.63,4,14,200,0.01,1,4,0.5,0.5,0.079369382,20507.57309,0.811166743,0,100,99,38.8128062,1,0,0
1,france,20210328,20210223,26.63,5,14,200,0.01,1,4,0.5,0.5,0.151186591,24540.36673,0.799581902,0,100,120,59.8008383,1,0,0
2,france,20210328,20210223,26.63,5,14,200,0.01,1,4,0.5,0.5,0.153478882,24618.4969,0.798943823,0,100,121,0.6527895,2,0,0
3,france,20210328,20210223,26.63,5,14,200,0.01,1,4,0.5,0.5,0.153790342,24607.77785,0.799031364,0,100,117,56.735797,1,0,0
4,france,20210328,20210223,26.63,5,14,200,0.01,1,4,0.5,0.5,0.151921222,24595.13929,0.799134581,0,100,118,58.2076741,1,0,0
5,france,20210328,20210223,26.63,5,14,200,0.01,1,4,0.5,0.5,0.158785796,24617.6176,0.798951004,0,100,119,59.1027137,1,0,0
1,france,20210328,20210223,26.63,6,14,200,0.01,1,4,0.5,0.5,0.133730374,24444.24921,0.81291676,0,100,127,6.786208,2,0,0
2,france,20210328,20210223,26.63,6,14,200,0.01,1,4,0.5,0.5,0.13430359,24625.06899,0.811532862,0,100,127,6.7839062,2,0,0
3,france,20210328,20210223,26.63,6,14,200,0.01,1,4,0.5,0.5,0.12810821,24867.06689,0.809680739,0,100,125,4.6711601,2,0,0
4,france,20210328,20210223,26.63,6,14,200,0.01,1,4,0.5,0.5,0.131860121,24510.55489,0.812409291,0,100,129,8.7440978,2,0,0
5,france,20210328,20210223,26.63,6,14,200,0.01,1,4,0.5,0.5,0.13698814,24507.91753,0.812429476,0,100,128,8.0646024,2,0,0
1,france,20210328,20210223,26.63,7,14,200,0.01,1,4,0.5,0.5,0.131060813,28476.08577,0.821351827,0,100,170,49.7474438,2,0,0
2,france,20210328,20210223,26.63,7,14,200,0.01,1,4,0.5,0.5,0.134466329,28548.18977,0.820899474,0,100,169,48.6092248,2,0,0
3,france,20210328,20210223,26.63,7,14,200,0.01,1,4,0.5,0.5,0.116323549,28403.65962,0.821806202,0,100,167,46.5861,2,0,0
4,france,20210328,20210223,26.63,7,14,200,0.01,1,4,0.5,0.5,0.122590501,28491.10241,0.821257619,0,100,169,48.9409845,2,0,0
5,france,20210328,20210223,26.63,7,14,200,0.01,1,4,0.5,0.5,0.12395722,28230.91962,0.822889907,0,100,166,45.8920678,2,0,0
1,france,20210328,20210223,26.63,8,14,200,0.01,1,4,0.5,0.5,0.181488907,26325.16227,0.81644174,0,100,127,6.7048304,2,0,0
2,france,20210328,20210223,26.63,8,14,200,0.01,1,4,0.5,0.5,0.182213549,26351.4413,0.816258504,0,100,126,6.163366,2,0,0
